Index,Time,GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,H,R,P
115,1459120913,-0.231781,-1.65985,6.7067,-0.10791,-0.165405,0.989319,0.03766,-0.00154,-0.20454,226.686,-7.69534,5.77359
116,1459120913,0.478516,0.224304,7.33475,-0.126099,-0.121338,1.00372,-0.00686,-0.00056,-0.17962,226.705,-7.61487,5.91324
117,1459120913,0.18692,1.71219,7.1254,-0.113831,-0.111633,1.01227,0.02016,0.01106,-0.20118,226.664,-7.48151,5.96414
118,1459120913,-0.777588,-1.93649,6.03378,-0.0797119,-0.138123,0.986694,-0.00966,-0.00294,-0.19012,226.688,-7.52967,5.83156
119,1459120914,-0.493469,-0.276642,5.02441,-0.0908813,-0.143555,0.981567,0.01246,0.00588,-0.1225,226.66,-7.60764,5.77829
120,1459120914,1.10657,0.575714,5.54779,-0.121704,-0.115906,1.02289,-0.00098,0.01176,-0.1904,226.684,-7.49099,5.88146
121,1459120914,0.127106,0.72525,6.43005,-0.110229,-0.11615,1.0166,-0.00546,0.01106,-0.19642,226.722,-7.39243,5.91263
122,1459120914,-0.426178,-2.56454,5.18143,-0.0721436,-0.117126,0.998047,-0.01498,0.01442,-0.20118,226.797,-7.32284,5.73584
123,1459120914,-0.755157,-1.129,5.77957,-0.0999756,-0.16687,0.977173,-0.0154,0.0182,-0.19838,226.88,-7.55574,5.74619
124,1459120915,1.32339,0.643005,6.11603,-0.11676,-0.0947266,1.02502,-0.06034,0.00882,-0.18508,227.094,-7.32379,5.82329
125,1459120915,-0.358887,0.0598145,6.10855,-0.100159,-0.12561,1.01526,-0.05474,0.01036,-0.11536,227.295,-7.29639,5.80415
126,1459120915,-1.20377,-2.3851,6.29547,-0.0769043,-0.147339,0.95575,-0.0357,0.00938,-0.15596,227.433,-7.43734,5.6891
127,1459120915,-0.755157,-0.179443,8.23944,-0.0936279,-0.142944,0.997314,-0.0728,0.01386,-0.14812,227.707,-7.50932,5.65655
128,1459120915,2.1907,0.284119,7.11044,-0.114136,-0.100708,1.02832,-0.05796,0.035,-0.15372,227.974,-7.31322,5.72616
129,1459120916,-0.590668,0.157013,5.60013,-0.0881348,-0.124573,1.0036,-0.06636,0.04802,-0.19096,228.297,-7.28943,5.65533
130,1459120916,-1.85425,-3.0954,6.56464,-0.0821533,-0.150635,0.972595,-0.07392,0.05544,-0.1918,228.664,-7.43744,5.57486
131,1459120916,0.0299072,-0.179443,6.48239,-0.117554,-0.1427,0.991699,-0.11578,0.04354,-0.1624,229.162,-7.51219,5.6929
132,1459120916,0.104675,0.149536,7.39456,-0.108276,-0.114624,1.02124,-0.09226,0.03472,-0.18634,229.564,-7.39929,5.7296
133,1459120916,0.00747681,-2.60941,7.00577,-0.0846558,-0.133667,1.00488,-0.12852,0.04424,-0.175,230.122,-7.41713,5.63793
134,1459120917,-0.807495,-1.45798,6.66931,-0.116516,-0.167542,0.97937,-0.09912,0.03766,-0.1211,230.565,-7.64297,5.75061
135,1459120917,0.343933,-0.859833,6.11603,-0.104736,-0.076355,1.01263,-0.09058,0.07854,-0.1897,231.055,-7.30762,5.76626
136,1459120917,-0.545807,-0.269165,7.28989,-0.100586,-0.132812,0.999756,-0.11676,0.07196,-0.1841,231.638,-7.33358,5.76416
137,1459120917,-2.25052,-4.47113,5.21133,-0.102234,-0.126343,0.978333,-0.1232,0.08862,-0.19166,232.279,-7.33603,5.78392
138,1459120918,0.994415,1.21872,5.86929,-0.132935,-0.15686,1.01239,-0.126,0.09856,-0.17948,232.953,-7.48558,5.95634
139,1459120918,0.770111,-0.254211,4.23935,-0.109131,-0.0838623,1.0188,-0.16856,0.06748,-0.17136,233.748,-7.20409,5.97239
140,1459120918,-1.49536,-1.06918,5.17395,-0.071228,-0.129272,0.982178,-0.14532,0.06818,-0.11214,234.457,-7.233,5.79354
141,1459120918,0.179443,-1.76453,5.80948,-0.0812378,-0.138672,0.99585,-0.1358,0.11032,-0.15428,235.202,-7.30233,5.68108
142,1459120918,0.874786,0.343933,6.95343,-0.109436,-0.119568,1.0011,-0.15414,0.10766,-0.1064,236.021,-7.25315,5.73699
143,1459120919,0.942078,0.463562,6.20575,-0.101318,-0.112793,1.0141,-0.14392,0.1183,-0.15582,236.816,-7.16143,5.7338
144,1459120919,-0.254211,-2.17575,5.159,-0.0791626,-0.13147,0.983337,-0.14756,0.1218,-0.18116,237.631,-7.20614,5.62263
145,1459120919,-0.396271,0.426178,7.29736,-0.110413,-0.165283,0.988831,-0.15806,0.1225,-0.18928,238.492,-7.43353,5.6969
146,1459120919,-0.418701,-1.74957,5.63751,-0.103516,-0.0742188,1.0022,-0.19096,0.1071,-0.14014,239.476,-7.11424,5.717
147,1459120919,0.291595,0.485992,7.94037,-0.106812,-0.145752,1.02777,-0.16436,0.15806,-0.17794,240.411,-7.21269,5.7392
148,1459120920,-1.51779,-3.45428,6.05621,-0.0820312,-0.118835,0.980347,-0.18508,0.12376,-0.15358,241.389,-7.18316,5.64553
149,1459120920,-1.62994,0,5.92911,-0.103088,-0.143005,0.989807,-0.14392,0.13832,-0.11368,242.199,-7.2863,5.67533
150,1459120920,0.837402,0.0971985,7.17026,-0.116333,-0.0926514,1.0202,-0.14658,0.17682,-0.18704,243.059,-7.07325,5.76008
151,1459120920,-1.01685,-2.65427,5.79453,-0.078125,-0.110046,0.975525,-0.16548,0.17976,-0.17514,243.996,-7.01104,5.6448
152,1459120920,-1.23367,-2.03369,6.64688,-0.0987549,-0.162476,0.991333,-0.17248,0.1785,-0.1757,244.952,-7.24049,5.64919
153,1459120921,1.79443,0.650482,5.95154,-0.121887,-0.0865479,1.02997,-0.16912,0.17976,-0.1701,245.882,-6.99066,5.76262
154,1459120921,-0.785065,0.493469,2.97577,-0.101807,-0.0953369,0.972961,-0.19712,0.19866,-0.16968,246.941,-6.85504,5.78318
155,1459120921,-0.927124,-3.67111,3.98514,-0.0756226,-0.11322,0.966064,-0.17864,0.18452,-0.10682,247.891,-6.83847,5.65645
